user,group_id,seed,correct,total,accuracy,points,raw_points,accuracy_bonus,ts,mode,topic,subtopic,levels,raw_points_total,raw_points_main,raw_points_spartan,accuracy_bonus_main,accuracy_bonus_spartan,spartan_scaled_points,spartan_attempts,spartan_correct,spartan_accuracy,spartan_mode,direction,points_main,points_spartan_raw,points_spartan_scaled,save_id
MontaInterno,adjective:advanced_4:g1,1,23,24,0.9583333333,772,726,46,2025-11-24 16:21:56,vocab,,,,,,,,,,,,,,,,,,5cce4281-b6e2-4f28-91e4-54fa8be6db9b
MontaInterno,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,6,8,0.75,92,80,12,2025-11-24 16:28:47,vocab,,,,,,,,,,,,,,,,,,b0d74276-0dd5-494d-b5b6-a211419a3cd1
MontaInterno,adjective:beginner_1:g1,1,22,22,1,445.5,335.5,110,2025-11-28 15:25:29,vocab,,,,,,,,,,,,,,,,,,ddeb95ab-550b-44d1-9b6c-65cf3317a26d
MontaInterno,adjective:beginner_1:g1,1,22,22,1,445.5,335.5,110,2025-11-28 15:28:03,vocab,,,,,,,,,,,,,,,,,,909b483a-4932-47ea-b5e1-b679be0e4780
MontaInterno,,,20,21,0.9523809524,525.25,375.25,150,2025-11-29 17:48:14,sentence,Basic Sentences,Saying Hello & Goodbye,"1,2,3,4,5",,,,,,,,,,,,,,,058bc0f0-76f9-4ebb-8b86-279ff410c60a
MontaIntaerno,,,2,4,0.5,61.425,46.425,15,2025-11-29 18:32:32,sentence,Education,At University,"1,2",,,,,,,,,,,,,,,752cbb03-150d-46f3-a015-7d9cc8a737af
CAINIAO,adjective:beginner_1:g1,1,21,22,0.9545454545,365,,105,2025-11-30 8:13:17,vocab,,,,260,260,0,105,0,0,0,0,0,0,eo_to_ja,,,,f01fa466-2190-4785-be91-bbc3acf9ef38
MontaInterno,,,8,8,1,185,125,60,2025-11-30 12:49:15,sentence,Basic Sentences,Instructions,"1,2",,,,,0,,0,0,0,0,ja_to_eo,125,0,0,e7867d12-e684-47b9-8078-74125cdac782
MontaInterno,adjective:beginner_1:g1,1,21,22,0.9545454545,366,,105,2025-11-30 12:51:54,vocab,,,,261,261,0,105,0,0,0,0,0,0,eo_to_ja,,,,2e6db1d9-6e76-430d-b860-986b0985c82c
MontaInterno,,,8,8,1,185,125,60,2025-11-30 12:53:47,sentence,Basic Sentences,Instructions,"1,2",,,,,0,,0,0,0,0,ja_to_eo,125,0,0,aab1d834-1e0b-4152-952f-d7fffbb981d2
MontaInterno,,,8,8,1,185,125,60,2025-11-30 12:56:58,sentence,Basic Sentences,Instructions,"1,2",,,,,0,,0,0,0,0,ja_to_eo,125,0,0,a839a88e-bde0-4518-b347-50cce1195fcb
MontaInterno,,,4,4,1,84.5,54.5,30,2025-11-30 13:01:40,sentence,Basic Sentences,Short Questions & Answers,1,,,,,0,,0,0,0,0,ja_to_eo,54.5,0,0,f05712b4-8200-4272-8b8c-1ef2a649e70b
MontaInterno,,,10,10,1,238.75,163.75,75,2025-11-30 13:11:57,sentence,Education,Student Life,"1,2",,,,,0,,0,0,0,1,ja_to_eo,163.75,0,0,a4925bde-cac8-4afe-8de1-8d3e0ff17cd6
MontaInterno,,,5,5,1,117.5,80,37.5,2025-11-30 13:16:16,sentence,Restaurant & Pub,At the Pub,"1,3",,,,,0,,0,0,0,0,ja_to_eo,80,0,0,166ca0bc-83b1-4be5-a93b-267c9f772a74
MontaInterno,,,3,4,0.75,68.25,45.75,22.5,2025-11-30 13:17:44,sentence,Restaurant & Pub,Complaints,"1,3",,,,,0,,0,0,0,0,ja_to_eo,45.75,0,0,84ccea45-0af6-4f18-b931-0b8661305c01
