user,group_id,seed,correct,total,accuracy,points,raw_points,accuracy_bonus,ts,mode,topic,subtopic,levels,raw_points_total,raw_points_main,raw_points_spartan,accuracy_bonus_main,accuracy_bonus_spartan,spartan_scaled_points,spartan_attempts,spartan_correct,spartan_accuracy,spartan_mode,direction,points_main,points_spartan_raw,points_spartan_scaled
Lingvenko,bare_adverb:beginner_1+beginner_2+beginner_3+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5+advanced_6:g1,1,24,25,0.96,610.5,,120,2026-02-22 15:38:07,,,,,490.5,490.5,0,120,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,correlative:intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5+advanced_6:g1,1,28,28,1,777,,140,2026-02-22 15:42:39,,,,,637,637,0,140,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,prefix:beginner_1+beginner_2+beginner_3+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5:g1,1,11,11,1,258.5,,55,2026-02-22 15:44:04,,,,,203.5,203.5,0,55,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,suffix:advanced_3+advanced_4+advanced_5+advanced_6:g1,1,24,24,1,642,,120,2026-02-22 15:47:28,,,,,522,522,0,120,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,preposition:beginner_1+beginner_2+beginner_3+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5+advanced_6:g2,1,16,16,1,396,,80,2026-02-22 15:49:44,,,,,316,316,0,80,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,numeral:advanced_1+advanced_2+advanced_3+advanced_4+advanced_5+advanced_6:g1,1,20,21,0.9523809524,469.5,,100,2026-02-22 15:52:20,,,,,369.5,369.5,0,100,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,adverb:beginner_1+beginner_2+intermediate_1+intermediate_2+intermediate_3+advanced_1+advanced_2+advanced_3+advanced_4+advanced_5:g1,1,10,10,1,232.5,,50,2026-02-22 15:54:08,,,,,182.5,182.5,0,50,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,noun:intermediate_1:g1,1,23,25,0.92,473,,115,2026-02-22 16:03:41,,,,,358,358,0,115,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,noun:intermediate_1:g2,1,23,24,0.9583333333,510.5,,115,2026-02-22 16:06:07,,,,,395.5,395.5,0,115,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,noun:intermediate_1:g3,1,21,24,0.875,431,,105,2026-02-22 16:08:42,,,,,326,326,0,105,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,noun:intermediate_1:g4,1,24,24,1,570,,120,2026-02-22 16:10:51,,,,,450,450,0,120,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,other:beginner_1+beginner_2+intermediate_1+intermediate_2+advanced_1+advanced_2+advanced_3+advanced_4:g1,1,8,8,1,182,,40,2026-02-22 16:12:12,,,,,142,142,0,40,0,0,0,0,0,0,eo_to_ja,,,
Lingvenko,,,16,16,1,442,322,120,2026-02-22 16:14:55,sentence,Basic Sentences,Instructions,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,322,0,0
Lingvenko,,,24,24,1,741,561,180,2026-02-22 16:19:38,sentence,Communication Means,At the Post Office,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,561,0,0
Lingvenko,,,14,14,1,391.25,286.25,105,2026-02-22 16:22:20,sentence,Communication Means,Letter,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,286.25,0,0
Lingvenko,,,21,21,1,634.5,477,157.5,2026-02-22 16:25:20,sentence,Education,At University,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,477,0,0
Lingvenko,,,30,30,1,987.25,762.25,225,2026-02-22 16:29:23,sentence,Education,Numbers & Colours,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,762.25,0,0
Lingvenko,,,23,24,0.9583333333,638.75,466.25,172.5,2026-02-22 16:33:03,sentence,Education,Student Life,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,466.25,0,0
Lingvenko,,,30,30,1,1022.25,797.25,225,2026-02-22 16:37:41,sentence,Restaurant & Pub,At the Pub,"1,2,3,4,5",,,,,0,,0,0,0,0,ja_to_eo,797.25,0,0
Lingvenko,,,20,21,0.9523809524,557.5,407.5,150,2026-02-23 8:20:14,sentence,Leisure Time,At the Museum,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,407.5,0,0
Lingvenko,,,24,24,1,735,555,180,2026-02-23 8:25:29,sentence,Leisure Time,At the Theatre,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,555,0,0
Lingvenko,,,12,12,1,313.5,223.5,90,2026-02-23 8:29:51,sentence,Leisure Time,Music,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,223.5,0,0
Lingvenko,,,33,33,1,1128,880.5,247.5,2026-02-23 8:35:41,sentence,Leisure Time,Sport,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,880.5,0,0
Lingvenko,,,26,26,1,822.75,627.75,195,2026-02-23 8:42:09,sentence,Leisure Time,Having Guests,"1,2,3,4,5",,,,,0,,0,0,0,0,eo_to_ja,627.75,0,0
MontaInterno,,,15,15,1,487.75,375.25,112.5,2026-02-23 16:59:49,sentence,Basic Sentences,Apologies,"6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,375.25,0,0
MontaInterno,adjective:beginner_1:g1,1,22,22,1,445.5,,110,2026-02-23 17:07:45,,,,,335.5,335.5,0,110,0,0,0,0,0,0,eo_to_ja,,,
MontaInterno,,,16,16,1,526,406,120,2026-02-24 17:09:33,sentence,Jobs,Recommendation Letter,"5,6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,406,0,0
MontaInterno,,,23,24,0.9583333333,764.75,592.25,172.5,2026-02-24 17:40:42,sentence,General Conversation,Expressing Feelings,"6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,592.25,0,0
MontaInterno,,,22,24,0.9166666667,715.775,550.775,165,2026-02-24 18:01:25,sentence,General Conversation,Expressing Feelings,"6,7,8,9,10",,,,,0,,2,2,1,1,ja_to_eo,508.25,60.75,42.525
MontaInterno,,,27,27,1,992.25,789.75,202.5,2026-02-28 15:11:16,sentence,Health,At the Pharmacy,"6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,789.75,0,0
MontaInterno,,,24,24,1,856,676,180,2026-03-02 2:57:40,sentence,Travel,Excursions,"6,7,8,9,10",,,,,0,,0,0,0,0,ja_to_eo,676,0,0
