kind,id,key,text,status,existing_size,generated_size
vocab,etapo,etapo,etapo,ok,46844,46844
vocab,etato,etato,etato,ok,47804,47804
vocab,etendi,etendi,etendi,ok,45404,45404
vocab,eterna,eterna,eterna,ok,43724,43724
vocab,etiko,etiko,etiko,ok,40364,40364
vocab,etno,etno,etno,ok,34604,34604
vocab,euxro,euxro,eŭro,ok,33164,33164
vocab,euxropo,euxropo,Eŭropo,ok,44924,44924
vocab,evento,evento,evento,ok,46604,46604
vocab,eventuala,eventuala,eventuala,ok,63404,63404
vocab,evidenta,evidenta,evidenta,ok,53564,53564
vocab,eviti,eviti,eviti,ok,42524,42524
vocab,evolui,evolui,evolui,ok,49004,49004
vocab,ezoko,ezoko,ezoko,ok,45164,45164
vocab,fabelo,fabelo,fabelo,ok,49964,49964
vocab,fabo,fabo,fabo,ok,39644,39644
vocab,fabriko,fabriko,fabriko,ok,49004,49004
vocab,facila,facila,facila,ok,53324,53324
vocab,faco,faco,faco,ok,45404,45404
vocab,fadeno,fadeno,fadeno,ok,48044,48044
vocab,fago,fago,fago,ok,39404,39404
vocab,fajenco,fajenco,fajenco,ok,52124,52124
vocab,fajfi,fajfi,fajfi,ok,47084,47084
vocab,fajro,fajro,fajro,ok,43004,43004
vocab,fako,fako,fako,ok,41084,41084
vocab,fakto,fakto,fakto,ok,46844,46844
vocab,faktoro,faktoro,faktoro,ok,51884,51884
vocab,fakturo,fakturo,fakturo,ok,50444,50444
vocab,falcxi,falcxi,falĉi,ok,49244,49244
vocab,faldi,faldi,faldi,ok,46124,46124
vocab,faldo,faldo,faldo,ok,44204,44204
vocab,fali,fali,fali,ok,37964,37964
vocab,falsa,falsa,falsa,ok,47804,47804
vocab,falsi,falsi,falsi,ok,49484,49484
vocab,fama,fama,fama,ok,40124,40124
vocab,familiara,familiara,familiara,ok,63164,63164
vocab,familio,familio,familio,ok,53564,53564
vocab,fandi,fandi,fandi,ok,45164,45164
vocab,fanfaroni,fanfaroni,fanfaroni,ok,68204,68204
vocab,fantazio,fantazio,fantazio,ok,61484,61484
vocab,fantomo,fantomo,fantomo,ok,54044,54044
vocab,farbo,farbo,farbo,ok,42764,42764
vocab,fari,fari,fari,ok,36044,36044
vocab,farmi,farmi,farmi,ok,43004,43004
vocab,farti,farti,farti,ok,46604,46604
vocab,faruno,faruno,faruno,ok,42524,42524
vocab,fasado,fasado,fasado,ok,55244,55244
vocab,fasko,fasko,fasko,ok,49244,49244
vocab,fasono,fasono,fasono,ok,53084,53084
vocab,fasti,fasti,fasti,ok,49964,49964
vocab,fatalo,fatalo,fatalo,ok,55244,55244
vocab,fauxko,fauxko,faŭko,ok,47084,47084
vocab,favora,favora,favora,ok,48764,48764
vocab,fazeolo,fazeolo,fazeolo,ok,54044,54044
vocab,febro,febro,febro,ok,41084,41084
vocab,februaro,februaro,februaro,ok,57644,57644
vocab,fecxo,fecxo,feĉo,ok,39884,39884
vocab,federacio,federacio,federacio,ok,64604,64604
vocab,fekunda,fekunda,fekunda,ok,48044,48044
vocab,felicxa,felicxa,feliĉa,ok,50684,50684
vocab,felo,felo,felo,ok,37964,37964
vocab,felto,felto,felto,ok,45164,45164
vocab,feminismo,feminismo,feminismo,ok,63644,63644
vocab,femuro,femuro,femuro,ok,45644,45644
vocab,fendi,fendi,fendi,ok,43724,43724
vocab,fendo,fendo,fendo,ok,41804,41804
vocab,fenestro,fenestro,fenestro,ok,55724,55724
vocab,fenomeno,fenomeno,fenomeno,ok,55004,55004
vocab,feo,feo,feo,ok,32684,32684
vocab,ferio,ferio,ferio,ok,44444,44444
vocab,fermi,fermi,fermi,ok,41564,41564
vocab,fero,fero,fero,ok,36044,36044
vocab,fervora,fervora,fervora,ok,47804,47804
vocab,festeni,festeni,festeni,ok,56924,56924
vocab,festi,festi,festi,ok,48524,48524
vocab,festivalo,festivalo,festivalo,ok,65804,65804
vocab,fi,fi,fi,ok,26444,26444
vocab,fiancxo,fiancxo,fianĉo,ok,56204,56204
vocab,fiasko,fiasko,fiasko,ok,57404,57404
vocab,fidela,fidela,fidela,ok,46604,46604
vocab,fidi,fidi,fidi,ok,37964,37964
vocab,fiera,fiera,fiera,ok,45404,45404
vocab,figo,figo,figo,ok,36524,36524
vocab,figuro,figuro,figuro,ok,45644,45644
vocab,fikcio,fikcio,fikcio,ok,55244,55244
vocab,fiksa,fiksa,fiksa,ok,43964,43964
vocab,fiksi,fiksi,fiksi,ok,45644,45644
vocab,filatelo,filatelo,filatelo,ok,59564,59564
vocab,filio,filio,filio,ok,45404,45404
