Esperanto,Japanese_Trans,Chinese_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
festeni,{Ｂ}［自］ごちそうを食べる; 宴会に参加する; 祝宴を催す,欢宴，赴宴,C,8.0,3.0,8.79,8.4
festi,{Ｂ}［他］祝う,庆祝，过（节）,B,4.0,2.0,5.67,4.83
fianĉo,"{Ｂ}婚約者（男）, いいなずけ（男）",未婚夫,B,7.0,2.0,5.67,6.33
fidela,"{Ｂ}忠実な, 誠実な; 節操の堅い, 貞節な; 事実を曲げない",忠实，坚贞，逼真,B,6.0,2.0,5.67,5.83
fidi,"{Ｂ}［他］信頼する, 信用する",信任，信赖,B,7.0,2.0,5.67,6.33
fiera,"{Ｂ}誇り高い, 自尊心のある; 高慢な, 尊大な",自豪，得意；骄傲，自负,B,6.0,2.0,5.67,5.83
figuro,"{Ｂ}姿, 人物（像）; 形, 図; 【美】像, フィギュア; 【数】図形; 【Ｇ】文彩, （ことばの）あや, 比喩的表現",外形，轮廓；肖像；图形,B,7.0,2.0,5.67,6.33
fikcio,"{Ｂ}虚構, フィクション, 作り事, 作り話",虚构，幻想（文艺）,C,9.0,3.0,8.79,8.9
fiksi,"{Ｂ}［他］固定する, 取りつける, 据える; 【写】定着する; 取り決める, 定める, 確定する",将…固定在…,A,5.0,1.0,2.54,3.77
filmo,{Ｂ}（写真や映画の）フィルム; 映画（個々の作品）,胶片，感光片；影片,B,7.0,2.0,5.67,6.33
filo,{Ｂ}息子,儿子,A,3.0,1.0,2.54,2.77
financo,"{Ｂ}財政, 財務; 金融",财政，金融；财政学,C,8.0,3.0,8.79,8.4
fingro,{Ｂ}指; 指の幅,手指（脚趾用 piedfingro）,A,3.0,1.0,2.54,2.77
fini,"{Ｂ}［他］終える, やめる; 仕上げる, 完了する",结束；完成,A,2.0,1.0,2.54,2.27
firma,"{Ｂ}堅い, 引き締まった; しっかりした, ぐらつかない; 《転》堅固な, 確固とした",坚实，牢固；坚决,B,6.0,2.0,5.67,5.83
fiziko,{Ｂ}物理学,物理学,C,8.0,3.0,8.79,8.4
fiŝo,{Ｂ}魚,鱼,A,4.0,1.0,2.54,3.27
flago,"{Ｂ}旗, >>standardo",旗帜,B,6.0,2.0,5.67,5.83
flamo,"{Ｂ}炎, 火炎; 情熱の炎, 激情",火焰，火苗,B,7.0,2.0,5.67,6.33
flanko,"{Ｂ}側（がわ）, わき; 側面; （～の）方（ほう）",面，侧,A,2.0,1.0,2.54,2.27
flari,{Ｂ}［他］（においを）感じる; 嗅ぐ; 嗅ぎ分ける,嗅到，闻到；嗅，闻,C,8.0,3.0,8.79,8.4
flava,"{Ｂ}黄色い, 黄色の",黄颜色,B,5.0,2.0,5.67,5.33
flegi,"{Ｂ}［他］看護する; 《転》（入念に）世話をする, 面倒をみる",看护，护理,C,6.0,3.0,8.79,7.4
fleksi,"{Ｂ}［他］曲げる, たわめる; 《転》屈服させる, 従わせる",屈，弯曲；使屈服,B,8.0,2.0,5.67,6.83
fliki,{Ｂ}［他］つぎを当てる; 《転》取り繕う; 【情】パッチを当てる,缝补，修补；弥补,C,9.0,3.0,8.79,8.9
flirti,{Ｂ}［自］（旗などが）翻る; （蝶などが）ひらひら飛び回る; （異性と）たわむれる,翩翩（飞舞）；飘扬,C,8.0,3.0,8.79,8.4
floro,"{Ｂ}花, 草花; 精華, 最良の部分",花,A,4.0,1.0,2.54,3.27
floso,{Ｂ}いかだ,筏，木排,C,7.0,3.0,8.79,7.9
flugi,"{Ｂ}［自］飛ぶ, 飛行する; 飛ぶように進む, 急ぐ",飞,A,3.0,1.0,2.54,2.77
flui,{Ｂ}［自］流れる; 流れるように動く; 《転》（話などが）よどみなく進む,流，流动,A,5.0,1.0,2.54,3.77
flustri,"{Ｂ}［自］ささやく, 小声で話す; 《転》さらさら音をたてる, >>susuri, >>murmureti",低语，耳语，发潺潺（飒飒）声,C,9.0,3.0,8.79,8.9
foiro,"{Ｂ}定期市, 見本市, （家畜・農産物の）品評会",（定期定点的大型）集市，交易会，展销会,C,8.0,3.0,8.79,8.4
fojo,"{Ｂ}度, 回",次，回,A,2.0,1.0,2.54,2.27
folio,{Ｂ}（植物の）葉; （金属などの）薄片; 紙片,叶，张（两面）,B,5.0,2.0,5.67,5.33
fondi,"{Ｂ}［他］創立する, 創設する, 創建する; 根拠を置く",建立；创建，创办,C,8.0,3.0,8.79,8.4
fonto,"{Ｂ}泉, 水源; 源; 《転》源泉, 根源",泉，源,B,5.0,2.0,5.67,5.33
for,{Ｂ}［副］遠くへ; 離れて / ［間］去れ！,往远处；在远处；不在，不见,A,1.0,1.0,2.54,1.77
forgesi,"{Ｂ}［他］忘れる, 失念する; なおざりにする, おろそかにする",忘记，忽略,A,4.0,1.0,2.54,3.27
forko,"{Ｂ}フォーク状の道具; 【料】フォーク, =manĝoforko",叉子，叉形物,B,6.0,2.0,5.67,5.83
formo,"{Ｂ}形, 形状; 形態, 様相; 形式, 外形; 作法",形状，样子,A,2.0,1.0,2.54,2.27
formulo,{Ｂ}書式; 【理】式; 【数】公式,公式，分子式；格式；说法，用语,C,9.0,3.0,8.79,8.9
forno,"{Ｂ}炉, かまど; 暖炉, ストーブ; こんろ",炉,C,6.0,3.0,8.79,7.4
forta,"{Ｂ}強い, 力強い; 強固な; 激しい",强有力；坚强,A,2.0,1.0,2.54,2.27
fortika,"{Ｂ}堅固な, 頑丈な, 頑健な; 要塞化した",坚实，牢固，强健,B,7.0,2.0,5.67,6.33
forĝi,"{Ｂ}［他］鍛える, 鍛造する; 《転》鍛錬する, 鍛え上げる",锻打，锻造,C,7.0,3.0,8.79,7.9
fosi,{Ｂ}［他］掘る; 発掘する; 《転》（問題などを）掘り下げる,掘土，翻地；挖掘,C,6.0,3.0,8.79,7.4
fosto,"{Ｂ}【建】柱; くい, 標柱, 電柱, >>stango, >>paliso",立柱，桩，路标，电杆,C,8.0,3.0,8.79,8.4
frago,{Ｂ}【果】オランダイチゴ（実）; 《般》イチゴ（苺）,草莓,C,8.0,3.0,8.79,8.4
frakasi,"{Ｂ}［他］音をたてて打ち砕く, ガラガラと壊す; 《転》撃破する, 打ちのめす",粉碎，打碎；摧毁，消灭,C,8.0,3.0,8.79,8.4
frandi,"{Ｂ}［他］好んで食べる, 好きである, 賞味する, 味わう",享用美味,C,7.0,3.0,8.79,7.9
frapi,"{Ｂ}［他］たたく, 打つ; たたいて音を出す; はっとさせる, 驚かす",敲打，拍打,B,4.0,2.0,5.67,4.83
frato,"{Ｂ}兄弟; （親しい）仲間; 【宗】ブラザー, =fratulo",兄弟,A,3.0,1.0,2.54,2.77
frazo,"{Ｂ}文, 文章; 美辞麗句; 【楽】楽句, フレーズ",句子；（空洞的）言词,B,9.0,2.0,5.67,7.33
fraŭlo,"{Ｂ}未婚男性, 独身男性",未婚男子,A,3.0,1.0,2.54,2.77
fremda,"{Ｂ}異国の, 他国の; 見知らぬ, 見慣れない; 無縁の, よそ事の",外国的；陌生,A,4.0,1.0,2.54,3.27
freneza,"{Ｂ}気の狂った; 気違いじみた, 無分別な; 我を忘れた",疯狂，失去理性的；荒诞,C,7.0,3.0,8.79,7.9
freŝa,"{Ｂ}生き生きした, 若々しい; 新鮮な, 生の; 真新しい, 最新の",新鲜，鲜嫩，新近,B,5.0,2.0,5.67,5.33
fripono,"{Ｂ}ペテン師, 悪党",流氓，骗子,C,9.0,3.0,8.79,8.9
friti,{Ｂ}［他］【料】（油で）揚げる; いためる,油炸，煎,C,8.0,3.0,8.79,8.4
frizi,"{Ｂ}［他］（髪を）カールする, パーマをかける",烫发,C,8.0,3.0,8.79,8.4
fromaĝo,{Ｂ}【料】チーズ,干酪，乳酪,C,6.0,3.0,8.79,7.4
fronto,"{Ｂ}正面, 前面; 【軍】最前線; 戦線; 【気】前線",前线；阵线；前面，正面,C,9.0,3.0,8.79,8.9
frosto,"{Ｂ}厳寒, 氷点下の寒気; 《転》ひどい寒け",严寒，冰冻；心寒,C,7.0,3.0,8.79,7.9
froti,"{Ｂ}［他］摩擦する, こする",摩擦,C,7.0,3.0,8.79,7.9
frukto,"{Ｂ}【植】果実, 実（み）, >>drupo, >>nukso, >>bero; くだもの; 《転》成果, 結果",果实；水果,A,3.0,1.0,2.54,2.77
frunto,"{Ｂ}額（ひたい）, 前頭部",前额,C,6.0,3.0,8.79,7.4
fulmo,"{Ｂ}【気】雷（かみなり）; 稲妻, 雷光; 《転》ひらめき",闪电,B,7.0,2.0,5.67,6.33
fumo,"{Ｂ}煙, 湯気; 《転》（煙のように）はかないもの",烟,B,6.0,2.0,5.67,5.83
fundamento,"{Ｂ}【建】基礎, 土台; 《転》基礎, 基本",基础，地基,C,8.0,3.0,8.79,8.4
fundo,{Ｂ}底; 奥; 背景; 《転》どん底,底，深处，底部,B,5.0,2.0,5.67,5.33
funebro,"{Ｂ}死別の悲しみ, 哀悼; 喪, 喪服, 喪章, 喪中",哀悼；丧，服丧,C,8.0,3.0,8.79,8.4
fungo,{Ｂ}【植】キノコ,真菌,C,9.0,3.0,8.79,8.9
funkcio,"{Ｂ}職務, 役目; 機能, 作用; 【数】関数; 【情】関数",职能，职务；作用，功能；函数,B,8.0,2.0,5.67,6.83
furioza,"{Ｂ}怒り狂った, 激怒した; 荒れ狂う",暴怒，行为狂暴；猛烈,C,9.0,3.0,8.79,8.9
fuĝi,"{Ｂ}［自］逃げる, 逃走する, 逃亡する, 逃避する",逃避，逃走，逃难,C,9.0,3.0,8.79,8.9
fuŝi,"{Ｂ}［他］仕損じる, 台なしにする",弄糟，拙劣地做，胡乱地做,B,9.0,2.0,5.67,7.33
gaja,"{Ｂ}陽気な, 快活な, 愉快な, にぎやかな, 浮き浮きした",愉快，喜形于外,A,4.0,1.0,2.54,3.27
gajni,"{Ｂ}［他］（運や偶然によって）得る; 勝ち取る; もうける, >>akiri",赢得，取得,B,4.0,2.0,5.67,4.83
ganto,{Ｂ}手袋; 【運】（野球の）グローブ,（分指的）手套,C,8.0,3.0,8.79,8.4
garantii,"{Ｂ}［他］保証する, 責任を持つ, 請合う; 保護する, 守る",担保，保证,C,8.0,3.0,8.79,8.4
gardi,"{Ｂ}［他］見張る, 番をする; 守護する, 護衛する; 監視する, 警戒する; 守る, 保存する, 保管する",守卫，看守；保管,B,5.0,2.0,5.67,5.33
gaso,"{Ｂ}ガス, 燃料ガス; 【化】気体, >>solido, >>likvo; 【軍】毒ガス",气体，可燃气；胃气；毒气,B,6.0,2.0,5.67,5.83
gasto,"{Ｂ}客, 来客, 訪問客; 招待客, 来賓; （ホテルなどの）客, 宿泊客",客人，顾客,B,6.0,2.0,5.67,5.83
gazeto,"{Ｂ}雑誌, 新聞, 定期刊行物",报纸；期刊，杂志,A,4.0,1.0,2.54,3.27
ge-,"{Ｂ}［接頭辞］（男女を併称する）, >>gepatroj, >>geknaboj",包括两性的,A,1.0,1.0,2.54,1.77
generacio,"{Ｂ}世代, 同時代の人々; 【生】世代",代，世代，一代人,C,9.0,3.0,8.79,8.9
genio,"{Ｂ}天才, 天分; 【神】守護神",守护神；天才，天资,C,8.0,3.0,8.79,8.4
gento,"{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>etno, >>nacio, >>popolo",种族，氏族，部族,C,9.0,3.0,8.79,8.9
genuo,"{Ｂ}【解】ひざ, ひざがしら",膝,B,5.0,2.0,5.67,5.33
geografio,{Ｂ}地理学; 地理,地理学,C,9.0,3.0,8.79,8.9
glacio,"{Ｂ}氷, 氷塊, 張りつめた氷; 《転》よそよそしい態度, 堅苦しさ",冰,B,5.0,2.0,5.67,5.33
gladi,{Ｂ}［他］アイロンをかける,熨，烫,C,8.0,3.0,8.79,8.4
glaso,"{Ｂ}コップ, グラス",玻璃杯,A,4.0,1.0,2.54,3.27
glata,"{Ｂ}なめらかな, すべすべした; 《転》平らな; 《転》人当たりのよい",平滑；平坦；流畅,B,7.0,2.0,5.67,6.33
glavo,"{Ｂ}刀, 剣; 《転》剣（武力・暴力・権威の象徴）",刀，剑,C,9.0,3.0,8.79,8.9
gliti,"{Ｂ}［自］滑る, 滑走する, つるりと滑る; 《転》忍び込む, ひそかに進行する",滑；溜冰,C,6.0,3.0,8.79,7.4
globo,"{Ｂ}球体, 球; （ビリヤード・ボウリングの）球; 【機】玉, 鋼球",球；灯泡,C,7.0,3.0,8.79,7.9
gluti,"{Ｂ}［他］飲み込む, 飲み下す; 《転》飲み込む, むさぼる",咽下，吞,C,8.0,3.0,8.79,8.4
golfo,"{Ｂ}【地理】湾 / 【運】ゴルフ, =golfludo, >>klabo, >>pilko",海湾；高尔夫球,C,8.0,3.0,8.79,8.4
gorĝo,"{Ｂ}のど, のど首; 【解】咽喉（いんこう）; 《転》峡谷, 山間の狭い道, 狭い湾口",喉，咽喉,C,7.0,3.0,8.79,7.9
gracia,"{Ｂ}優雅な, 優美な, 上品な",优美，文雅；苗条,C,7.0,3.0,8.79,7.9
grado,"{Ｂ}程度, 等級, 段階; 【単】（角度・温度などの）度; 【数】次数; 【法】親等",度；程度,B,7.0,2.0,5.67,6.33
grajno,"{Ｂ}穀粒; （粒状の）実, 種子; （一般的に）粒; 《転》微量",谷粒，谷物（指果实）；粒状果实,C,8.0,3.0,8.79,8.4
gramatiko,{Ｂ}【語】文法; 文法学; 文法書,语法,C,9.0,3.0,8.79,8.9
gramo,{Ｂ}【単】グラム（g）,克,C,9.0,3.0,8.79,8.9
granda,"{Ｂ}大きい, 強大な, 多大の, 偉大な",大，伟大,A,2.0,1.0,2.54,2.27
grandioza,"{Ｂ}雄大な, 堂々たる, 荘厳な",宏伟，壮观，堂皇,C,9.0,3.0,8.79,8.9
graso,{Ｂ}脂肪; 油脂; 【機】グリース,脂肪,B,6.0,2.0,5.67,5.83
grati,"{Ｂ}［他］ひっかく, かき削る; かく, >>skrapi",抓，抓破，抓伤；挠，搔,C,9.0,3.0,8.79,8.9
gratuli,{Ｂ}［他］お祝いを言う,祝贺，庆贺,B,8.0,2.0,5.67,6.83
grava,"{Ｂ}重要な, 重大な; 深刻な",重要；严重,A,2.0,1.0,2.54,2.27
graveda,{Ｂ}妊娠した; 《転》はらんだ,怀孕的，妊娠的；孕育着…的，充满…的,C,9.0,3.0,8.79,8.9
greno,{Ｂ}穀物,谷物，谷类；谷种,C,5.0,3.0,8.79,6.9
grimpi,{Ｂ}［自］（sur）よじ登る; （山に）登る; （つる草が）はい上がる,攀登，爬上,C,7.0,3.0,8.79,7.9
griza,"{Ｂ}灰色の, ねずみ色の; 白髪まじりの; どんよりした, 陰気な",灰色，花白,B,5.0,2.0,5.67,5.33
grumbli,"{Ｂ}［自］ぼやく, ぶつぶつ不平を言う, 愚痴をこぼす",嘟哝，低声抱怨,C,9.0,3.0,8.79,8.9
grundo,"{Ｂ}土壌, 土地; 地盤, 地面, 土台; 水底; 《転》下地",土，土壤；地基,C,7.0,3.0,8.79,7.9
gruo,"{Ｂ}【鳥】ツル / 【機】クレーン, 起重機",鹤属鸟类；起重机，吊车,C,9.0,3.0,8.79,8.9
grupo,"{Ｂ}グループ, 小集団, 群れ",一群，一批；一丛；组,A,5.0,1.0,2.54,3.77
gumo,"{Ｂ}【植】ゴム, ゴム液; 弾性ゴム, =kaŭĉuko; 消しゴム, =frotgumo",树胶，树脂,B,9.0,2.0,5.67,7.33
gusto,"{Ｂ}味, 風味; 味覚; 趣味, 好み",味；爱好；鉴赏力,B,7.0,2.0,5.67,6.33
guto,"{Ｂ}しずく, 一滴; 《転》微量",滴,B,6.0,2.0,5.67,5.83
gvidi,"{Ｂ}［他］案内する, 導く; 指導する, 手引きする",领路；引导,A,6.0,1.0,2.54,4.27
haki,"{Ｂ}［他］（斧で）切る, たたき切る; （話などを）切れ切れにする; 傷める",砍,C,7.0,3.0,8.79,7.9
halo,"{Ｂ}ホール, 大広間; 市場, （屋根と柱だけの）市場の建物",敞棚，大厅,C,9.0,3.0,8.79,8.9
halti,"{Ｂ}［自］止まる, 立ち止まる, 停止する",停止,B,3.0,2.0,5.67,4.33
harmonio,"{Ｂ}調和, ハーモニー; 【楽】和声",谐音，和音；和谐，融洽,C,9.0,3.0,8.79,8.9
haro,"{Ｂ}毛（一本）, 髪の毛（一本）",毛，发,A,3.0,1.0,2.54,2.77
haveno,"{Ｂ}港, 港湾; 《転》避難所, 休息所",港口,B,7.0,2.0,5.67,6.33
havi,"{Ｂ}［他］持っている, ～がある; 所有する",有,A,2.0,1.0,2.54,2.27
hazardo,{Ｂ}偶然; 運,机遇，巧合；偶然，侥幸,C,9.0,3.0,8.79,8.9
haŭto,"{Ｂ}（動物の）皮, 表皮; （人間の）皮膚, 肌; （果物の）皮; 《転》皮膜状のもの",皮，皮肤,B,6.0,2.0,5.67,5.83
hejmo,"{Ｂ}家庭, 自宅, わが家; （自宅に代わる）収容施設, ホーム; 《転》=hejmloko",家,A,3.0,1.0,2.54,2.77
hejti,{Ｂ}［他］（炉などに）火をたく; （部屋を）暖房する,给…生火，烧火,B,6.0,2.0,5.67,5.83
hela,"{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>pala; （音が）澄んだ",明亮，晴朗；浅，淡,B,4.0,2.0,5.67,4.83
helikoptero,"{Ｂ}【空】ヘリコプター, >>aŭtogiro",直升飞机,C,9.0,3.0,8.79,8.9
helpi,"{Ｂ}［他］手助けする, 助力する, 手伝う, 介助する; 援助する; 役立つ",帮助,A,2.0,1.0,2.54,2.27
hepato,{Ｂ}【解】肝臓,肝,C,9.0,3.0,8.79,8.9
herbo,"{Ｂ}草; 牧草, 芝草; 【植】草本",草,B,5.0,2.0,5.67,5.33
heredi,{Ｂ}［他］相続する; 《転》受け継ぐ; 遺伝として受け継ぐ,继承，承袭；受遗传,C,8.0,3.0,8.79,8.4
heroldo,"{Ｂ}布告者, 使者, 先触れ; 【史】（王の）伝令官",传令官；传播者,C,9.0,3.0,8.79,8.9
heroo,"{Ｂ}英雄, 勇士; （物語の）主人公; 【神】（ギリシャ神話の）半神, 神人",英雄；主人公,C,8.0,3.0,8.79,8.4
heziti,"{Ｂ}［自］ためらう, 躊躇（ちゅうちょ）する",踌躇，犹豫，迟疑,B,7.0,2.0,5.67,6.33
hieraŭ,"{Ｂ}［副］きのう, 昨日",昨天,A,1.0,1.0,2.54,1.77
higieno,{Ｂ}衛生学; 衛生,卫生学,C,9.0,3.0,8.79,8.9
himno,{Ｂ}【宗】賛美歌; 賛歌,圣歌，赞美诗,C,9.0,3.0,8.79,8.9
hirundo,{Ｂ}【鳥】ツバメ（属）; =domhirundo,燕属鸟类,C,7.0,3.0,8.79,7.9
historio,"{Ｂ}歴史; 歴史学; 沿革, 来歴; 画期的な事件; 物語, 話",历史；故事,A,4.0,1.0,2.54,3.27
hodiaŭ,{Ｂ}［副］きょう; 今日（こんにち）では,今天,A,1.0,1.0,2.54,1.77
hoko,"{Ｂ}鉤（かぎ）; 【機】フック; 釣り針, =fiŝhoko; 【運】（ボクシングの）フック",钩子，鱼钩,C,8.0,3.0,8.79,8.4
homo,"{Ｂ}人, 人間; 【動】ヒト",人,A,2.0,1.0,2.54,2.27
honesta,"{Ｂ}正直な, 誠実な, 実直な; 公正な, 正当な, まともな, いつわりのない",正直，诚实,B,6.0,2.0,5.67,5.83
honoro,"{Ｂ}名誉, 面目; 栄誉, 光栄; 敬意, 尊敬",尊敬，荣誉,B,6.0,2.0,5.67,5.83
honti,{Ｂ}［自］恥じる; 恥ずかしがる（pri/pro〜を）,感到羞耻，害羞，羞愧,B,6.0,2.0,5.67,5.83
hordeo,{Ｂ}【植】オオムギ（属）,大麦属植物；大麦粒,C,9.0,3.0,8.79,8.9
horizonto,"{Ｂ}地平線, 水平線; 《転》（思考・知識などの）視界, 範囲; 【地質】層準; 土壌の層位",地平线，水平线；眼界，见识,C,9.0,3.0,8.79,8.9
horloĝo,"{Ｂ}時計; 柱時計, 大時計",钟，表，计时器,B,5.0,2.0,5.67,5.33
horo,"{Ｂ}一時間; 時間, 時刻",小时；时刻，时间,A,3.0,1.0,2.54,2.77
hospitalo,"{Ｂ}病院, =malsanulejo; 【史】施療院",医院,B,8.0,2.0,5.67,6.83
hotelo,"{Ｂ}ホテル, 旅館",旅馆，饭店,B,7.0,2.0,5.67,6.33
humana,"{Ｂ}人間的な, 人情味のある, 人道的な",人道，仁爱，仁慈,C,9.0,3.0,8.79,8.9
humida,"{Ｂ}湿った, 湿気のある, じめじめした, =malseketa",潮湿,C,8.0,3.0,8.79,8.4
humila,"{Ｂ}謙虚な, 控えめな; 卑下した",自卑，谦逊,B,7.0,2.0,5.67,6.33
humoro,"{Ｂ}気質; 気分, 機嫌; 《古》（人の性格を左右するとされた）体液（ユーモア=humuroとは別語）",性情，情绪，气质,B,7.0,2.0,5.67,6.33
hundo,{Ｂ}【動】イヌ（犬）,狗,A,4.0,1.0,2.54,3.27
ia,"{Ｂ}［形］ある種の, なんらかの（種類・性質）",某种的，某类的,A,1.0,1.0,2.54,1.77
ial,"{Ｂ}［副］ある理由で, なぜか",因为某种缘故,B,6.0,2.0,5.67,5.83
iam,"{Ｂ}［副］ある時, いつか（過去・未来）",某时，任何时候；曾经,A,1.0,1.0,2.54,1.77
idealo,{Ｂ}理想,理想，崇高目标,B,8.0,2.0,5.67,6.83
identa,"{Ｂ}（kun）同一の; 同様の, そっくり同じの",完全一样，同样，没有差异,C,8.0,3.0,8.79,8.4
ideo,"{Ｂ}観念; 考え, 思想; 思いつき, アイデア; 【哲】イデア; 【楽】楽想",观念，主意，理想,A,4.0,1.0,2.54,3.27
ie,"{Ｂ}［副］どこかで, あるところに",某处，在某处,A,1.0,1.0,2.54,1.77
iel,{Ｂ}［副］どうにかして,用某种方法,B,6.0,2.0,5.67,5.83
ies,"{Ｂ}［形］だれかの, ある人の",某人的,B,6.0,2.0,5.67,5.83
ignori,"{Ｂ}［他］（意図的に）無視する, 見ないふりをする, 知らないふりをする, >>neglekti",不理，无视，漠视,C,9.0,3.0,8.79,8.9
ili,"{Ｂ}［代］（三人称複数）彼ら, 彼女ら, それら",他（她、它）们,A,1.0,1.0,2.54,1.77
ilustri,"{Ｂ}［他］挿絵を入れる, 図解する; （例をあげて）説明する",插图，以图装饰,C,8.0,3.0,8.79,8.4
imagi,"{Ｂ}［他］想像する, 思い描く",想象，设想,B,6.0,2.0,5.67,5.83
imiti,"{Ｂ}［他］まねる, 模倣する; 見習う; 模造する",摹仿，仿效，仿制,B,6.0,2.0,5.67,5.83
imperio,{Ｂ}帝国,帝国,C,8.0,3.0,8.79,8.4
impliki,"{Ｂ}［他］もつれさせる, 絡めとる; 込み入らせる, 混乱させる; （事件に）巻き込む",缠住，使卷入，使陷入；制造困难,C,9.0,3.0,8.79,8.9
importi,"{Ｂ}［他］輸入する, >>eksporti",输入，进口,C,8.0,3.0,8.79,8.4
imposto,"{Ｂ}税, 税金",税,C,8.0,3.0,8.79,8.4
impreso,"{Ｂ}印象, 感銘; 感じ, 心地; 【写】感光",印象；感光,C,8.0,3.0,8.79,8.4
imuna,{Ｂ}【医】免疫の; 【法】免除の; 【機】耐性のある,免疫的；免除某项法律责任的；抗…的，防…的,C,9.0,3.0,8.79,8.9
inciti,"{Ｂ}［他］（刺激して）怒らせる, いらだたせる; 極度に興奮させる",激怒，逗弄，惹,C,9.0,3.0,8.79,8.9
indiferenta,"{Ｂ}どうでもいい, 重要でない; 無関心な, 平然とした",引不起兴趣的；冷漠,C,8.0,3.0,8.79,8.4
indigni,"{Ｂ}［自］（不正や卑劣な行為に対して）憤慨する, 憤る",愤慨，愤怒,C,9.0,3.0,8.79,8.9
indiki,"{Ｂ}［他］指し示す, 示す, 表す",指出，指示，表示,C,9.0,3.0,8.79,8.9
individuo,"{Ｂ}個人, 個; 【生】個体",个体，个人,C,9.0,3.0,8.79,8.9
indulgi,"{Ｂ}［他］容赦する, 大目に見る; 寛大に扱う, いたわる; 助命する",宽恕，纵容；不得罪，体谅,C,9.0,3.0,8.79,8.9
industrio,"{Ｂ}産業, 工業",工业，产业,B,6.0,2.0,5.67,5.83
infano,"{Ｂ}（大人に対して）子供, 児童, 幼児; （親に対して）子",幼儿，儿童；孩子,A,2.0,1.0,2.54,2.27
infekti,"{Ｂ}［他］（人に）感染させる, 病気をうつす, >>kontaĝi; 《転》感化する",传染；感染,C,9.0,3.0,8.79,8.9
infero,"{Ｂ}【宗】地獄; 《転》修羅場, 生き地獄; 死後の世界, 冥界, >>Hadeso, >>Ŝeolo",地狱,C,9.0,3.0,8.79,8.9
influi,"{Ｂ}［他］影響を与える, 感化する, 左右する",影响,B,8.0,2.0,5.67,6.83
informi,"{Ｂ}［他］通報する, 知らせる",通知，告诉，报告,B,6.0,2.0,5.67,5.83
iniciati,"{Ｂ}［他］（新しいことを）始める, 発起する, 創始する",创始，发起,C,9.0,3.0,8.79,8.9
injekti,{Ｂ}［他］【医】注射する; 【機】注入する,注射,C,9.0,3.0,8.79,8.9
inklina,"{Ｂ}傾向のある, 心の傾いた",倾向于…，有…倾向,C,8.0,3.0,8.79,8.4
inko,"{Ｂ}インク, インキ",墨水，墨汁；油墨,B,5.0,2.0,5.67,5.33
insekto,{Ｂ}【虫】昆虫,昆虫,B,5.0,2.0,5.67,5.33
insigno,"{Ｂ}記章, バッジ; （～oj）（都市・家などの）紋章",徽章,C,9.0,3.0,8.79,8.9
insisti,"{Ｂ}［自］（自分の意見に）固執する, 言い張る, 力説する, >>persisti",坚持（意见或要求），主张,C,8.0,3.0,8.79,8.4
inspiri,"{Ｂ}［他］（思想・感情を）吹き込む, 鼓吹する, 抱かせる; 霊感を与える",引起，激起，唤起；使获得灵感,C,9.0,3.0,8.79,8.9
instali,"{Ｂ}［他］（物を）据え付ける, 備え付ける; （場所を）設備を整える; （人を）就任させる, 任命する; 【情】インストールする",设置，安装，建立,C,8.0,3.0,8.79,8.4
instigi,"{Ｂ}［他］励ます, 勧める; 駆りたてる, そそのかす",激励，鼓励，煽动，怂恿,C,8.0,3.0,8.79,8.4
instinkto,{Ｂ}本能; 直観,本能，生性，天性,C,7.0,3.0,8.79,7.9
instrui,"{Ｂ}［他］教える, 教育する; （出来事が）教示する, 教訓を与える",教，教导,A,5.0,1.0,2.54,3.77
instrumento,"{Ｂ}器具, 器械, 道具; 楽器; 手段; 【法】法律文書",用具，仪器,C,8.0,3.0,8.79,8.4
insulo,{Ｂ}島; 《転》離れ島,岛,B,6.0,2.0,5.67,5.83
insulti,"{Ｂ}［他］（言葉で）侮辱する, ののしる, 悪口を言う",骂,C,8.0,3.0,8.79,8.4
intelekto,"{Ｂ}知性, 知力, 理解力",智力，才智，悟力,C,8.0,3.0,8.79,8.4
inteligenta,"{Ｂ}聡明な, 頭のよい, 利口な",理解力强，聪明,C,8.0,3.0,8.79,8.4
intenci,"{Ｂ}［他］意図する, もくろむ, 企てる, ～するつもりである",想，打算，企图,B,5.0,2.0,5.67,5.33
inter,"{Ｂ}［前］～の間に, ～の間で; ～の中にまじって",在…之间,A,1.0,1.0,2.54,1.77
interesi,"{Ｂ}［他］興味をひく, 関心を持たせる; 関係させる, 利害関係がある",使发生兴趣,A,3.0,1.0,2.54,2.77
interna,"{Ｂ}内部の, 内側の; 国内の; 内心の, 精神的な",内部，内在,B,4.0,2.0,5.67,4.83
interpreti,"{Ｂ}［他］通訳する; 解釈する, 解明する; （演奏・演劇で）自己の解釈に基づいて演じる",口译；说明，解释,C,9.0,3.0,8.79,8.9
intesto,"{Ｂ}【解】腸; >>dika intesto, >>maldika intesto",肠,C,9.0,3.0,8.79,8.9
intima,"{Ｂ}親密な, 親しい, 内輪の; 私的な, 内に秘めた, 心の中の",内心，内在；亲密，亲切,C,9.0,3.0,8.79,8.9
