Esperanto,Japanese_Trans,Chinese_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
ekster,"{Ｂ}［前］～の外で, ～の外に; ～のほかに, ～以外",在…之外,A,1.0,1.0,2.54,1.77
ekstrema,"{Ｂ}末端の, 果ての, ぎりぎりの; 極端な, 極度の",极远，末端；极端，极度,B,8.0,2.0,5.67,6.83
ekvilibro,"{Ｂ}均衡, 平衡, 釣合い; 【理】平衡",平衡，均衡,B,8.0,2.0,5.67,6.83
ekzakta,"{Ｂ}正確な, 精密な, 厳密な, >>senerara, >>strikta",准确，精确,C,9.0,3.0,8.79,8.9
ekzameni,"{Ｂ}［他］調べる, 検査する, 検討する; 試験する; （容疑者を）取り調べる",考核，检查，审查，考试,B,7.0,2.0,5.67,6.33
ekzemplo,"{Ｂ}例, 実例; （語の）用例; 模範, 手本",模范，榜样；例子,B,4.0,2.0,5.67,4.83
ekzerci,"{Ｂ}［他］訓練する, 練習させる, >>disciplini, >>hardi",练习，训练，锻炼,B,7.0,2.0,5.67,6.33
ekzisti,"{Ｂ}［自］存在する, 実在する",存在,A,5.0,1.0,2.54,3.77
el,"{Ｂ}［前］～の中から, ～から出た, ～のうちの, ～製の",从…中；出于,A,1.0,1.0,2.54,1.77
elefanto,{Ｂ}【動】ゾウ（象）,象属动物,C,8.0,3.0,8.79,8.4
eleganta,"{Ｂ}上品な, 趣味のよい, 優美な",雅致，优雅，优美，漂亮,C,8.0,3.0,8.79,8.4
elekti,"{Ｂ}［他］選ぶ, 選択する, 選定する, >>kribri; 選挙する, >>baloti",选择，选举,A,4.0,1.0,2.54,3.27
elektro,{Ｂ}電気,电,B,7.0,2.0,5.67,6.33
elemento,"{Ｂ}要素, 成分; 基本原理, 初歩; 【化】元素; 自然の力, 悪天候; （本来の）生息環境, 活動領域",元素；成分；原理，初步,B,9.0,2.0,5.67,7.33
